movie_id,production
m131,Brandywine Productions
m132,Universal Pictures
m132,Gold Circle Films
m133,Revolution Studios
m134,Columbia Pictures
m135,Pixar Animation Studios
m135,Walt Disney Pictures
m136,Paramount Pictures presents a Cruise
m136,Wagner production
m137,Allied Artists
m137,Solar Productions
m138,United Artists
m139,20th Century Fox
m140,TriStar Pictures
m140,Gracie Films
m141,Warner Bros. Pictures
m142,United Artists
m143,Warner Bros. Pictures
m144,Warner Bros. Pictures
m145,Universal Pictures; Producer: Arnon Milchan
m146,Walt Disney
m147,20th Century Fox
m148,New Line Cinema
m149,Gaumont International
m149,Gaumont
m149,EFVE
m149,TF1 Films Production
m149,TPS Cinéma
m150,Warner Bros. Pictures
m150,Malpaso Company
m151,Warner Bros. Pictures
m151,Malpaso
m152,Metro-Goldwyn-Mayer
m153,Walt Disney Pictures
m153,Pixar Animation Studios
m154,Co-production USA-UK-Canada; Warner Bros. Pictures
m154,Paramount Pictures
m154,Legendary Pictures
m154,DC Comics
m154,Lawrence Gordon Productions
m155,Lucasfilm. Distributed by 20th Century Fox
m156,Shin Cine Communications
m157,Warner Bros
m157,Regency Enterprises
m158,Metro-Goldwyn-Mayer
m159,Columbia Pictures
m159,Kerner Entertainment Company
m159,Sony Pictures Animation
m160,Co-production Spain-France; La Fabrique de Films
m160,Morena Films
m160,Telecinco Cinema
m160,Vaca Films
m161,Castle Rock Entertainment
m161,Village Roadshow Pictures
m162,Co-production Italy-Spain-West Germany; Constantin Film Produktion
m162,Jolly Film
m162,Ocean Films
m163,Co-production Italy-Spain-West Germany; MGM release
m163,Produzioni Europee Associati (PEA)
m163,"Arturo González Producciones Cinematográficas, S.A"
m163,Constantin Film Produktion
m164,Columbia Pictures
m165,DreamWorks Pictures
m165,DreamWorks Animation
m166,Gold Circle Films
m166,HBO
m166,MPH Entertainment
m166,Playtone
m166,IFC Films
m167,Universal Pictures
m167,Northern Lights Productions
m168,Metro-Goldwyn-Mayer
m169,Lolafilms
m170,U.F.A.
m171,David O. Selznick
m172,Co-production USA-UK; Columbia Pictures
m172,Inside Track 2
m173,Great American Films Limited Partnership
m173,Vestron Pictures
m174,Metro-Goldwyn-Mayer
m175,Walt Disney Pictures
m175,Pixar Animation Studios
m176,United Artists
m177,Columbia Pictures
m178,RKO Radio Pictures
m179,Warner Bros. Pictures
m180,Touchstone Pictures
m181,20th Century Fox
m181,Morgan Creek Productions
m182,Columbia Pictures
m182,Overbrook Entertainment
m182,Escape Artists
m183,Columbia Pictures
m183,Rastar Productions
m184,Warner Bros. Pictures
m185,20th Century Fox
m186,Mirage Enterprises
m186,The Weinstein Company
m187,Paramount Pictures release (Dino de Laurentiis presentation)
m188,Universal Pictures
m188,Miramax Films present a Working Title production
m189,United Artists
m190,Paramount Pictures
m190,Lucasfilm
m191,Sony
m191,TriStar Pictures
m191,MG Entertainment
m191,Endgame Entertainment
m191,FilmDistrict
m192,Warner Bros. Pictures
